class_id,source_dataset,image_1,image_2
CBFace_0,CBFace,CBFace_0/1-5.jpg,CBFace_0/2-7.jpg
CBFace_1,CBFace,CBFace_1/1-4.jpg,CBFace_1/2-11.jpg
CBFace_10,CBFace,CBFace_10/1-2.jpg,CBFace_10/2-6.jpg
CBFace_100,CBFace,CBFace_100/1-2.jpg,CBFace_100/2-10.jpg
CBFace_1000,CBFace,CBFace_1000/1-0.jpg,CBFace_1000/2-10.jpg
CBFace_1001,CBFace,CBFace_1001/1-3.jpg,CBFace_1001/2-5.jpg
CBFace_1003,CBFace,CBFace_1003/1-4.jpg,CBFace_1003/2-6.jpg
CBFace_1007,CBFace,CBFace_1007/1-2.jpg,CBFace_1007/2-8.jpg
CBFace_1008,CBFace,CBFace_1008/1-8.jpg,CBFace_1008/2-11.jpg
CBFace_101,CBFace,CBFace_101/1-2.jpg,CBFace_101/2-5.jpg
CBFace_1010,CBFace,CBFace_1010/1-1.jpg,CBFace_1010/2-3.jpg
CBFace_1014,CBFace,CBFace_1014/1-1.jpg,CBFace_1014/2-7.jpg
CBFace_1015,CBFace,CBFace_1015/1-3.jpg,CBFace_1015/2-5.jpg
CBFace_1016,CBFace,CBFace_1016/1-8.jpg,CBFace_1016/2-9.jpg
CBFace_1019,CBFace,CBFace_1019/1-7.jpg,CBFace_1019/2-11.jpg
CBFace_102,CBFace,CBFace_102/1-1.jpg,CBFace_102/2-4.jpg
CBFace_1020,CBFace,CBFace_1020/1-6.jpg,CBFace_1020/2-9.jpg
CBFace_1021,CBFace,CBFace_1021/1-2.jpg,CBFace_1021/2-3.jpg
CBFace_1023,CBFace,CBFace_1023/1-5.jpg,CBFace_1023/2-10.jpg
CBFace_1024,CBFace,CBFace_1024/1-11.jpg,CBFace_1024/2-5.jpg
CBFace_103,CBFace,CBFace_103/1-10.jpg,CBFace_103/2-11.jpg
CBFace_1030,CBFace,CBFace_1030/1-3.jpg,CBFace_1030/2-10.jpg
CBFace_1031,CBFace,CBFace_1031/1-1.jpg,CBFace_1031/2-4.jpg
CBFace_1036,CBFace,CBFace_1036/1-1.jpg,CBFace_1036/2-7.jpg
CBFace_1037,CBFace,CBFace_1037/1-0.jpg,CBFace_1037/2-6.jpg
CBFace_1039,CBFace,CBFace_1039/1-5.jpg,CBFace_1039/2-7.jpg
CBFace_104,CBFace,CBFace_104/1-1.jpg,CBFace_104/2-2.jpg
CBFace_1040,CBFace,CBFace_1040/1-1.jpg,CBFace_1040/2-2.jpg
CBFace_1041,CBFace,CBFace_1041/1-1.jpg,CBFace_1041/2-6.jpg
CBFace_1042,CBFace,CBFace_1042/1-2.jpg,CBFace_1042/2-6.jpg
CBFace_1043,CBFace,CBFace_1043/1-8.jpg,CBFace_1043/2-7.jpg
CBFace_1044,CBFace,CBFace_1044/1-6.jpg,CBFace_1044/2-11.jpg
CBFace_1045,CBFace,CBFace_1045/1-4.jpg,CBFace_1045/2-8.jpg
CBFace_1047,CBFace,CBFace_1047/1-8.jpg,CBFace_1047/2-10.jpg
CBFace_1049,CBFace,CBFace_1049/1-8.jpg,CBFace_1049/2-10.jpg
CBFace_105,CBFace,CBFace_105/1-0.jpg,CBFace_105/2-9.jpg
CBFace_1051,CBFace,CBFace_1051/1-4.jpg,CBFace_1051/2-9.jpg
CBFace_1054,CBFace,CBFace_1054/1-1.jpg,CBFace_1054/2-3.jpg
CBFace_1055,CBFace,CBFace_1055/1-3.jpg,CBFace_1055/2-10.jpg
CBFace_1056,CBFace,CBFace_1056/1-3.jpg,CBFace_1056/2-10.jpg
CBFace_1057,CBFace,CBFace_1057/1-0.jpg,CBFace_1057/2-6.jpg
CBFace_1058,CBFace,CBFace_1058/1-1.jpg,CBFace_1058/2-8.jpg
CBFace_1059,CBFace,CBFace_1059/1-0.jpg,CBFace_1059/2-2.jpg
CBFace_106,CBFace,CBFace_106/1-6.jpg,CBFace_106/2-9.jpg
CBFace_1060,CBFace,CBFace_1060/1-9.jpg,CBFace_1060/2-11.jpg
CBFace_1061,CBFace,CBFace_1061/1-4.jpg,CBFace_1061/2-7.jpg
CBFace_1062,CBFace,CBFace_1062/1-1.jpg,CBFace_1062/2-5.jpg
CBFace_1063,CBFace,CBFace_1063/1-3.jpg,CBFace_1063/2-8.jpg
CBFace_1064,CBFace,CBFace_1064/1-0.jpg,CBFace_1064/2-2.jpg
CBFace_1065,CBFace,CBFace_1065/1-5.jpg,CBFace_1065/2-9.jpg
CBFace_1066,CBFace,CBFace_1066/1-4.jpg,CBFace_1066/2-8.jpg
CBFace_1067,CBFace,CBFace_1067/1-3.jpg,CBFace_1067/2-6.jpg
CBFace_1068,CBFace,CBFace_1068/1-1.jpg,CBFace_1068/2-3.jpg
CBFace_1069,CBFace,CBFace_1069/1-4.jpg,CBFace_1069/2-5.jpg
CBFace_107,CBFace,CBFace_107/1-2.jpg,CBFace_107/2-7.jpg
CBFace_1073,CBFace,CBFace_1073/1-2.jpg,CBFace_1073/2-8.jpg
